0,1,2,3
-474170.30232016195,-375667.35291023314,-544113.9877636958,-520048.257836155
-547848.5669212241,-392179.7964589487,-347115.9855523773,-417802.06236002396
-521024.6654422885,-332712.1442153333,-477609.3326373622,-329126.8724896849
-348303.4613725051,-481870.7763341995,-357757.08133519907,-451053.58088497684
-444674.5601301601,-480703.4682928498,-384538.7630590144,-617684.6522764494
-426979.467810232,-386069.96785957034,-306031.90625586093,-533020.7040710677
-354990.76775025425,-484170.5124941739,-358401.9981846178,-461266.0047112286
-491659.0427449065,-319441.9334734653,-515028.7738072373,-460281.17195426335
-361861.43361361645,-554678.2954621686,-322410.68411129044,-467069.6498231263
-461640.7165990511,-496871.8400506639,-557614.1461598016,-475116.6623031721
-595621.0053344936,-418515.91391646775,-447150.63891596074,-407135.7177692707
-422121.060880229,-431896.0763013669,-428229.98839628906,-442214.2052373614
-504138.7853271351,-324816.70991329395,-535964.2001631312,-388034.9721657162
-330875.4766741727,-320840.089355329,-385444.33257998707,-338023.3875887839
-352337.9784960268,-421964.7465385016,-547992.9009237484,-470246.0295276045
-446454.5871837018,-554183.5821828416,-376773.37539417273,-527869.1991820525
-366671.24005278776,-363401.203688852,-374578.2767013693,-351417.2538082985
-360176.17079659045,-367428.29200148425,-442208.2264365664,-833339.5304389592
-468934.392191135,-490317.8300591416,-427490.5242320973,-431823.36398227495
-347127.18735324737,-446227.18611383345,-528580.1452680577,-454435.905126891
-389015.69511703274,-344660.8552965635,-498703.29015472915,-491964.8535268868
-457701.4442198921,-341261.5731762372,-497690.43445461063,-376079.6419757718
-383138.7510738088,-486384.8511058309,-503016.8646564346,-527929.7673092819
-535349.5692833422,-439998.93082990637,-359536.77519545745,-502229.3894544757
-384656.37790657993,-373557.68262652936,-495037.689637563,-455561.3972760958
-526078.2449509334,-519281.29997678584,-453689.46619138087,-669900.3801512122
-533580.0256713711,-580074.7860871775,-504795.91140291636,-436556.2015504148
-568652.9835080539,-370959.4031281704,-469402.9801776061,-532643.181578812
-404814.6865429364,-518775.97712641617,-550437.6338450051,-516210.21189405274
-375500.0993449222,-471091.3278699222,-552765.4380191875,-505186.61718284595
-288171.2834420938,-384378.01903440454,-351479.36447096296,-586963.1241769975
-413754.1006717745,-600405.595045742,-666504.9161783105,-665945.797867145
-311138.03722670814,-318895.5394191799,-313009.8966767088,-347167.748035915
-473208.6204955422,-414344.7101379828,-405152.94028763036,-382437.9963004368
-330773.33635876694,-542494.3233622729,-423098.48747021344,-538927.803128701
-381275.93775302754,-469146.89996019786,-411067.5966357957,-375277.820462618
-293054.0925580563,-332585.11008454335,-382326.1753072616,-474755.526530418
-498897.51615486114,-400556.28163800016,-386340.5586557467,-357832.96662082314
-375138.89475642424,-462211.01222055574,-303887.8473156461,-434055.3924079253
-459463.4148620493,-328662.998623293,-394521.9039664233,-464516.87559365516
-483405.1255178994,-411145.64439201227,-430580.62047362985,-374826.5117904592
-473705.89120335254,-793602.6172638718,-426928.62575568625,-448649.80455581774
-446628.9310166943,-370141.66301874444,-462929.3333291391,-399784.747259913
-385537.99342694675,-347208.91621563275,-664528.6388451926,-458882.80556817946
-322921.4747280532,-431529.9686907149,-349459.6301910286,-364367.4277200799
-591075.8684389666,-382149.38415603817,-523747.5275157863,-848101.222112132
-532061.9679298266,-374920.078385108,-334353.1247445684,-460443.4246229111
-269520.0656479258,-486553.52658403706,-489194.746957255,-465597.19028407836
-382152.75491626054,-333711.46001830423,-471904.8766150945,-434765.58298559464
-554577.2285491547,-286721.350915017,-342300.4817655646,-320644.40427403536
-613348.0418287279,-395521.8773075845,-473624.00606743863,-405961.63098664116
-420659.4235223903,-279571.43408794876,-407125.32470617286,-542822.4815586074
-291943.8345302973,-413074.66173004196,-422089.0776246428,-765588.4792494493
-406923.6805023953,-288894.3783005743,-338270.56803968933,-372152.17344163987
-419356.68047713244,-360834.88520755206,-447654.35860894644,-409443.52133425855
-390364.84112273867,-363777.47882817267,-326943.77837272506,-408613.27984716464
-441095.80340030434,-354950.77647226094,-475300.96156888554,-365330.09118031734
-451135.7270865172,-506099.7770134443,-746021.4054375296,-355899.5067879526
-435533.34301829967,-548795.8132799715,-544917.7737242948,-394274.7478503626
-413214.8981994268,-457385.1230311764,-400136.9333083377,-537876.9440480745
-330899.09865344135,-474826.7808124757,-314402.4817260382,-699063.2375371048
-358127.6356318626,-354039.8361054569,-466944.9036629664,-399882.29465706425
-364777.333129623,-453989.6932686042,-335895.2215131394,-443049.33605587186
-356677.7520154293,-355999.4716507387,-325009.26064483804,-495049.5990036126
-439391.1986517077,-414594.0615813862,-321806.1012025353,-292375.0824985238
-537858.2884409414,-369477.39493305807,-320618.55536565516,-418165.8317466581
-466802.084483921,-453607.8508575138,-486123.48308392044,-488052.20131013176
-479371.4468326831,-523628.13473008526,-474947.54158223904,-401551.20442166814
-357997.1312472343,-440857.8443120325,-384866.81979374256,-337857.5767654767
-497993.44222008006,-466574.61080604326,-346943.8844579628,-306950.081519714
-363148.8727011097,-667687.5698039652,-365411.69429536705,-503543.20904295624
-574536.1434435272,-583930.7765581798,-522611.391656766,-436957.6529655545
-576471.8878330175,-396872.5911999244,-416439.08515482314,-492690.8912491808
-379696.0181085379,-338498.247647596,-445522.2142120179,-307472.1289064409
-567703.2819467199,-386010.3667715302,-510194.06610469706,-433534.8299162172
-289866.0567228144,-337272.1319226743,-453944.82795747794,-569876.8051377824
-523653.46545185597,-482601.4017652469,-426619.8407175858,-414824.667975597
-380757.3529712657,-581303.9224971915,-446322.00640707556,-308476.6502692615
-549685.0944640188,-322049.8268225521,-452102.3836163066,-413556.18946568685
-376247.6357812408,-366817.30850340525,-308051.5338705978,-438860.2073326653
-325071.0554696552,-885900.4908464473,-402729.0551063109,-675569.4350373655
-490779.81330397894,-461260.79755583603,-436536.0476666221,-574259.1056071983
-290359.73902687716,-480657.051162346,-403915.1381079068,-666788.6276888066
-412279.6241693363,-688281.9696392125,-448879.56734231755,-367398.77488378924
-453254.7119427732,-420549.8002107169,-411651.02894094354,-477938.63279780245
-672621.3400859522,-456694.46932084655,-533653.139425483,-523002.64711351605
-366403.27270057256,-513351.29923845973,-421016.171826114,-360726.95590261597
-338061.92603918933,-442922.4947564072,-686254.1400522107,-394477.3474659955
-341851.0192372053,-447579.59597883164,-371848.45272231835,-383471.1816524702
-647296.346144145,-425938.2558909867,-398776.8688742992,-520039.56694859127
-437313.8645593811,-342318.12921515916,-507893.24055511405,-384331.4787117053
-656315.5081248957,-425050.84799678,-441232.5996868121,-302624.18935101526
-424646.61936007044,-447027.1327060593,-409576.37467807997,-380080.51764709724
-531549.3119152405,-422193.5363555188,-499214.4968754985,-450016.66384812084
-516670.0681023177,-279022.9829919209,-464181.72399405047,-541393.8026115631
-479539.43628287537,-313874.221516576,-439999.98095147125,-568901.3781131954
-391377.1743527512,-448780.80802758376,-382322.7570902548,-339911.38343327685
-364293.6707470598,-471095.24672074,-367253.4723693505,-418648.04151554825
-501303.85208723444,-371580.22265526996,-345131.0594643478,-477279.36948489386
-462942.94954694057,-455184.36876253935,-421230.5250567646,-340497.7824985961
-386960.0008104052,-351716.6997361707,-363399.5832715118,-299901.5274358776
-328254.3523432662,-449036.06593486696,-373431.0969814677,-538151.5819041708
-345466.0666942744,-356243.3037064364,-353029.7171354201,-394789.4772967866
-364323.7930809904,-335796.3359428697,-399201.7583746254,-558481.2147197825
-315168.30887985206,-629481.2387313143,-339104.89002023253,-475037.4643658854
-408804.2931440384,-317769.11360287585,-441483.9353626217,-364967.49556904746
-326167.8956050552,-427557.5229174496,-493467.02978088916,-381973.9849810872
-481212.7376906811,-493814.74838671676,-539031.9830837449,-342126.1031804924
-671605.5023570592,-507867.30879794003,-537310.8998241021,-642859.8724555402
-316642.291914797,-564360.0820977625,-310196.3229943771,-376428.8012401755
-490252.01888123417,-426101.61125532974,-477253.8903364254,-324242.4815707069
-473060.919107203,-353164.29492853535,-300810.80018445954,-368447.8155013076
-348670.17622345407,-459724.26529560104,-474406.72703613766,-454667.9527911652
-614987.7036240855,-430486.5983362706,-431885.383502773,-406626.4126252568
-507742.23704401514,-383459.39230002504,-370561.31940363586,-517211.3831579258
-582349.4143905186,-633208.8334864598,-271895.47346739,-391355.35014839197
-273073.566802386,-517777.93870446534,-369670.75750033744,-320003.3356380902
-423262.73961656267,-478317.87181678833,-334170.6618792047,-390337.2469226903
-314416.18579737976,-525608.0001538243,-389862.053978203,-439640.2997586735
-516122.52081645775,-351397.6466610374,-546930.0503600562,-307144.4989347529
-261381.48154776258,-389726.31621099997,-497982.61122071376,-384319.2818886985
-255712.41423048565,-304482.3033048184,-476948.6937664284,-504146.94849472836
-314977.50715857226,-434951.497784526,-487947.5409974034,-368909.6409904924
-508760.1343483163,-720644.8540679619,-350383.80211740837,-278037.59674526396
-318573.2038741551,-548381.8534028493,-383439.3315357448,-341793.52483412967
-391250.4591235451,-403586.8497107769,-334642.8105714171,-436452.63492399326
-433418.24123505224,-439217.15032898495,-602303.2221390182,-507750.521059901
-473823.29530528176,-483059.4209690105,-430946.1338746239,-558237.4458752736
-343287.0136488282,-383493.0239224469,-567591.6441812377,-301472.174386057
-457274.71592386696,-317991.44512133405,-292353.79278095945,-311774.56193690724
-508723.4804366959,-298127.58567931666,-476410.68020989606,-345213.8786135365
-373932.64327298047,-311636.4365750034,-390024.9490860819,-491533.6259647425
-386363.6974937733,-315294.42832363996,-349415.72720216337,-452697.8825594403
-389517.9319834874,-369868.1457530282,-438329.9349459136,-654955.1576050498
-394817.67396375653,-463480.6864136249,-383209.20694194373,-439699.55927703815
-422867.41835954733,-424787.4853601872,-394719.4746381353,-436465.9036165332
-657872.053655094,-495476.21505040524,-347826.0783287067,-450572.76792434335
-358052.1125015677,-364026.1822041094,-595789.6522900612,-356531.782884736
-431187.1871940422,-352837.7007641619,-285022.02683187684,-379966.06435337284
-411101.9338301132,-370519.14990151516,-324823.209932912,-413089.285019912
-311871.66398484574,-315569.3518081157,-330937.58871431224,-396866.7897431911
-419004.3907151915,-388639.3120869655,-359605.7036108566,-341560.84626439755
-330008.634281844,-300135.6401994503,-409228.4854222913,-351235.42726366286
-500531.5909739181,-496827.1072801826,-455295.99928151845,-532873.9681225539
-359453.6591976348,-462346.0443058224,-480129.6668329805,-482385.79159827536
